,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,clean_job_titles
0,2023,EN,FT,Admin & Data Analyst,50000,USD,50000,DE,0,DE,M,Data Analyst
1,2024,SE,FT,Data Management Specialist,200400,USD,200400,US,0,US,M,Data Management Specialist
2,2024,SE,FT,Data Management Specialist,116500,USD,116500,US,0,US,M,Data Management Specialist
3,2024,SE,FT,Data Scientist,188500,USD,188500,US,0,US,M,Data Scientist
4,2024,SE,FT,Data Scientist,165100,USD,165100,US,0,US,M,Data Scientist
5,2024,MI,FT,Data Product Manager,166363,USD,166363,US,0,US,M,Data Product Manager
6,2024,MI,FT,Data Product Manager,103977,USD,103977,US,0,US,M,Data Product Manager
7,2024,MI,FT,Data Engineer,128600,USD,128600,US,0,US,M,Data Engineer
8,2024,MI,FT,Data Engineer,100000,USD,100000,US,0,US,M,Data Engineer
9,2024,SE,FT,Data Analyst,133650,USD,133650,US,100,US,M,Data Analyst
10,2024,SE,FT,Data Analyst,68150,USD,68150,US,100,US,M,Data Analyst
11,2024,SE,FT,Data Engineer,210000,USD,210000,US,0,US,M,Data Engineer
12,2024,SE,FT,Data Engineer,181000,USD,181000,US,0,US,M,Data Engineer
13,2024,SE,FT,Data Architect,257600,USD,257600,US,0,US,M,Data Engineer
14,2024,SE,FT,Data Architect,224100,USD,224100,US,0,US,M,Data Engineer
15,2024,MI,FT,Data Scientist,144200,USD,144200,US,100,US,M,Data Scientist
16,2024,MI,FT,Data Scientist,72100,USD,72100,US,100,US,M,Data Scientist
17,2024,MI,FT,Data Scientist,229900,USD,229900,US,0,US,M,Data Scientist
18,2024,MI,FT,Data Scientist,201400,USD,201400,US,0,US,M,Data Scientist
19,2024,MI,FT,Data Scientist,212000,USD,212000,US,0,US,M,Data Scientist
20,2024,MI,FT,Data Scientist,93300,USD,93300,US,0,US,M,Data Scientist
21,2024,SE,FT,Data Analyst,135000,USD,135000,US,0,US,M,Data Analyst
22,2024,SE,FT,Data Analyst,90000,USD,90000,US,0,US,M,Data Analyst
23,2024,SE,FT,Data Analyst,107000,USD,107000,US,0,US,M,Data Analyst
24,2024,SE,FT,Data Analyst,68400,USD,68400,US,0,US,M,Data Analyst
25,2024,SE,FT,Data Engineer,145000,USD,145000,US,0,US,M,Data Engineer
26,2024,SE,FT,Data Engineer,95000,USD,95000,US,0,US,M,Data Engineer
27,2024,SE,FT,Data Engineer,230000,USD,230000,US,0,US,M,Data Engineer
28,2024,SE,FT,Data Engineer,200000,USD,200000,US,0,US,M,Data Engineer
29,2024,MI,FT,Machine Learning Engineer,280000,USD,280000,US,0,US,M,Data Engineer
30,2024,MI,FT,Machine Learning Engineer,230000,USD,230000,US,0,US,M,Data Engineer
31,2024,SE,FT,Data Scientist,65000,GBP,81250,US,0,US,M,Data Scientist
32,2024,SE,FT,Data Scientist,55000,GBP,68750,US,0,US,M,Data Scientist
33,2024,SE,FT,Data Science,267900,USD,267900,US,0,US,M,Data Scientist
34,2024,SE,FT,Data Science,234700,USD,234700,US,0,US,M,Data Scientist
35,2024,SE,FT,ML Engineer,220000,USD,220000,US,0,US,M,Data Engineer
36,2024,SE,FT,ML Engineer,170000,USD,170000,US,0,US,M,Data Engineer
37,2024,MI,FT,Data Manager,90500,USD,90500,US,0,US,M,Data Manager
38,2024,MI,FT,Data Manager,49900,USD,49900,US,0,US,M,Data Manager
39,2024,SE,FT,Machine Learning Engineer,242000,CAD,186153,CA,0,CA,M,Data Engineer
40,2024,SE,FT,Machine Learning Engineer,215000,CAD,165384,CA,0,CA,M,Data Engineer
41,2024,SE,FT,Data Scientist,180000,USD,180000,US,0,US,M,Data Scientist
42,2024,SE,FT,Data Scientist,162000,USD,162000,US,0,US,M,Data Scientist
43,2024,SE,FT,Data Scientist,165000,USD,165000,US,0,US,M,Data Scientist
44,2024,SE,FT,Data Scientist,71000,USD,71000,US,0,US,M,Data Scientist
45,2024,MI,FT,Research Engineer,280000,USD,280000,US,0,US,M,Data Engineer
46,2024,MI,FT,Research Engineer,230000,USD,230000,US,0,US,M,Data Engineer
47,2024,SE,FT,Data Scientist,155000,USD,155000,US,0,US,M,Data Scientist
48,2024,SE,FT,Data Scientist,139500,USD,139500,US,0,US,M,Data Scientist
49,2024,MI,FT,Machine Learning Engineer,150000,EUR,166666,DE,0,DE,M,Data Engineer
50,2024,MI,FT,Machine Learning Engineer,120000,EUR,133333,DE,0,DE,M,Data Engineer
51,2024,MI,FT,Data Analytics Consultant,94625,USD,94625,US,100,US,M,Data Analyst
52,2024,MI,FT,Data Analytics Consultant,57500,USD,57500,US,100,US,M,Data Analyst
53,2024,MI,FT,Data Analyst,107755,USD,107755,US,100,US,M,Data Analyst
54,2024,MI,FT,Data Analyst,79645,USD,79645,US,100,US,M,Data Analyst
55,2024,SE,FT,Machine Learning Engineer,195500,USD,195500,US,0,US,M,Data Engineer
56,2024,SE,FT,Machine Learning Engineer,132600,USD,132600,US,0,US,M,Data Engineer
57,2024,MI,FT,Data Engineer,167000,USD,167000,US,0,US,M,Data Engineer
58,2024,MI,FT,Data Engineer,121000,USD,121000,US,0,US,M,Data Engineer
59,2024,SE,FT,Data Architect,195000,USD,195000,US,0,US,M,Data Engineer
60,2024,SE,FT,Data Architect,64200,USD,64200,US,0,US,M,Data Engineer
61,2024,SE,FT,Data Scientist,185400,USD,185400,US,100,US,M,Data Scientist
62,2024,SE,FT,Data Scientist,92700,USD,92700,US,100,US,M,Data Scientist
63,2024,SE,FT,Research Scientist,195500,USD,195500,US,100,US,M,Data Scientist
64,2024,SE,FT,Research Scientist,141300,USD,141300,US,100,US,M,Data Scientist
65,2024,SE,FT,Data Science,110000,USD,110000,US,0,US,M,Data Scientist
66,2024,SE,FT,Data Science,70000,USD,70000,US,0,US,M,Data Scientist
67,2024,MI,FT,Applied Scientist,222200,USD,222200,US,0,US,L,Data Scientist
68,2024,MI,FT,Applied Scientist,136000,USD,136000,US,0,US,L,Data Scientist
69,2024,SE,FT,Data Analyst,750000,USD,750000,US,0,US,M,Data Analyst
70,2024,SE,FT,Data Analyst,150000,USD,150000,US,0,US,M,Data Analyst
71,2024,SE,FT,Data Scientist,220800,USD,220800,US,0,US,M,Data Scientist
72,2024,SE,FT,Data Scientist,124800,USD,124800,US,0,US,M,Data Scientist
73,2024,SE,FT,Data Scientist,234000,USD,234000,US,0,US,M,Data Scientist
74,2024,SE,FT,Data Scientist,146000,USD,146000,US,0,US,M,Data Scientist
75,2024,SE,FT,Machine Learning Engineer,254400,USD,254400,US,0,US,M,Data Engineer
76,2024,SE,FT,Machine Learning Engineer,151600,USD,151600,US,0,US,M,Data Engineer
77,2024,SE,FT,Data Scientist,101763,USD,101763,CA,0,CA,M,Data Scientist
78,2024,SE,FT,Data Scientist,81410,USD,81410,CA,0,CA,M,Data Scientist
79,2024,SE,FT,Machine Learning Engineer,304750,USD,304750,US,0,US,M,Data Engineer
80,2024,SE,FT,Machine Learning Engineer,160000,USD,160000,US,0,US,M,Data Engineer
81,2024,MI,FT,Research Scientist,96200,USD,96200,US,100,US,M,Data Scientist
82,2024,MI,FT,Research Scientist,69800,USD,69800,US,100,US,M,Data Scientist
83,2024,MI,FT,Data Scientist,179000,USD,179000,US,0,US,M,Data Scientist
84,2024,MI,FT,Data Scientist,112000,USD,112000,US,0,US,M,Data Scientist
85,2024,SE,FT,Research Engineer,54395,GBP,67993,ZA,0,ZA,M,Data Engineer
86,2024,SE,FT,Research Engineer,45585,GBP,56981,ZA,0,ZA,M,Data Engineer
87,2024,SE,FT,Data Architect,190196,USD,190196,US,0,US,M,Data Engineer
88,2024,SE,FT,Data Architect,155615,USD,155615,US,0,US,M,Data Engineer
89,2024,SE,FT,Data Manager,131200,USD,131200,US,100,US,M,Data Manager
90,2024,SE,FT,Data Manager,95300,USD,95300,US,100,US,M,Data Manager
91,2024,SE,FT,Data Engineer,190196,USD,190196,US,0,US,M,Data Engineer
92,2024,SE,FT,Data Engineer,155615,USD,155615,US,0,US,M,Data Engineer
93,2024,EN,FT,Data Engineer,158100,USD,158100,US,0,US,M,Data Engineer
94,2024,EN,FT,Data Engineer,138500,USD,138500,US,0,US,M,Data Engineer
95,2024,SE,FT,Machine Learning Engineer,418000,USD,418000,US,100,US,M,Data Engineer
96,2024,SE,FT,Machine Learning Engineer,141000,USD,141000,US,100,US,M,Data Engineer
97,2024,SE,FT,Research Engineer,54395,GBP,67993,ZA,0,ZA,M,Data Engineer
98,2024,SE,FT,Research Engineer,45585,GBP,56981,ZA,0,ZA,M,Data Engineer
99,2024,SE,FT,Machine Learning Engineer,189000,USD,189000,US,0,US,M,Data Engineer
